category,path,status,expected_bytes,actual_bytes,expected_md5,actual_md5,sha256,note
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435044.fastq.gz,PASS,594183662,594183662,039b6842fd23b331e545e4e4f423488c,039b6842fd23b331e545e4e4f423488c,77e8893f7aac89cf7db7b66af7d5bb70caf29e1e8f87bdf2526d5d6b56250d27,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435045.fastq.gz,PASS,599785490,599785490,6fff7126fd8b336c679612e31ecb17ce,6fff7126fd8b336c679612e31ecb17ce,b0a1ada4a9f1f82d665d77f40b52611d013cff59f7068634944b296bb043716b,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435046.fastq.gz,PASS,589735251,589735251,419f65f7bcdc8eab14133cbcbc321baf,419f65f7bcdc8eab14133cbcbc321baf,7d98f4cc40cbe5a3460ce107f9da8eac2df33889885807f3d960bda4765d426b,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435047.fastq.gz,PASS,578995375,578995375,9d106488d050951dd0cfc23cce5b4c64,9d106488d050951dd0cfc23cce5b4c64,98b45a2a8dd06a9b24996e8ebf99150a01233b555fa64f4eb84f8bb19f421467,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435048.fastq.gz,PASS,583073716,583073716,437b05683da7e048feb31e0ba9de8f38,437b05683da7e048feb31e0ba9de8f38,f7dff4a729e0f0c0f5a79b3d0380c87965024ee2bbe46e192e82dde6e753f7d9,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435049.fastq.gz,PASS,573329711,573329711,1dfbfd251789b8678661c611125eeb15,1dfbfd251789b8678661c611125eeb15,142dd67065f9bc43f8e0aaaff5e6536adf99c62f9a79c400a208c9b6db02dbe8,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435050.fastq.gz,PASS,581889723,581889723,f0068c2914f80d9f22408412481f0928,f0068c2914f80d9f22408412481f0928,b0ae3747345c9e8d7c414114c3bfb0927fdd3bb3e842aeec5b752d33a3a8b0c3,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435051.fastq.gz,PASS,588221027,588221027,d526f4dc86efd9d3e9f03dba7e50194c,d526f4dc86efd9d3e9f03dba7e50194c,a66abac9effefb90741cfe0cf082de5b4397506a3b3b18044be2d58ad292beca,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435052.fastq.gz,PASS,585836740,585836740,05d65d6e21e9e895f887d19c18f6befc,05d65d6e21e9e895f887d19c18f6befc,b6b5898244f2655286e3a179b9046a0f2494d54385ca2416cd5c19af8db629ad,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435053.fastq.gz,PASS,588013521,588013521,83e344fb74072c6e30c9ee43293a9a53,83e344fb74072c6e30c9ee43293a9a53,8b897a1c1958939bbd2923d5d9a09ec735703b8affe8e5d950b6c17b0f941461,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435054.fastq.gz,PASS,592268079,592268079,cbd797b94afee25c672f575c97763e65,cbd797b94afee25c672f575c97763e65,5bd771a36b9988a228c259d73c71f88a5d5321b00a5977a45b99873615c23423,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435055.fastq.gz,PASS,583902903,583902903,51c39413a1404e7f5d033b64a762d3f6,51c39413a1404e7f5d033b64a762d3f6,c575ffaa70c94acfdcc5bbd1eab5fb691748d9df472a59f18ec338d7f3d54688,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435056.fastq.gz,PASS,670621566,670621566,e42965c9126f91ebab182e636cd372dd,e42965c9126f91ebab182e636cd372dd,6d393add0a14e16efef0d62bcd4690313b3e5f7e10ae109099621968afbfaef6,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435057.fastq.gz,PASS,676959130,676959130,87234970c64905d1cf7fe35db73a5f0b,87234970c64905d1cf7fe35db73a5f0b,5342b310896ccfa5f306bc1df78e6275926deee3e91e2bdbc6c009ca330559c5,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435058.fastq.gz,PASS,665120233,665120233,96a165dab0bf949696d5204210e8c892,96a165dab0bf949696d5204210e8c892,a02f30ad72b0bc4a0de2ed103f5cf23a2abb25dd8f277c370e4e9519a6f61289,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435062.fastq.gz,PASS,737335500,737335500,fb950be44310c53e054c054d8aba11f2,fb950be44310c53e054c054d8aba11f2,7d105a4b5892e531e86c6a3fed0d29bd57d0464417bf2b8f756fb125686bcd8b,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435063.fastq.gz,PASS,742379620,742379620,e601234e11bb1d787cc9d1faf1f146c4,e601234e11bb1d787cc9d1faf1f146c4,2881ecf0a6564510d22060aa0f182bd4d46d1e665239ae60ce6ccea8d156ad1a,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435064.fastq.gz,PASS,731183975,731183975,5bce8aa910d15df8559bc5018bc95fd1,5bce8aa910d15df8559bc5018bc95fd1,c2498ee58fbae71e9f3be631992768a40b3d0347ed220689048f06e9bba93391,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435065.fastq.gz,PASS,485634089,485634089,0c351b6f99a5b418312987e6c40aa62a,0c351b6f99a5b418312987e6c40aa62a,5a588e4a36716b8ae880e4f9b29396a7207c4f15c19f153cdd1f90ed756d399a,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435066.fastq.gz,PASS,489976731,489976731,c33083687d6727689e7f5afcd5eb28ee,c33083687d6727689e7f5afcd5eb28ee,4df5abbe8bfc01fbf75b36fc9e1adbf3f1f0eeacf076e4075318c512c7a861d5,GSE147657
FASTQ,analysis_data/independent_validation/raw_reads/GSE147657/SRR11435067.fastq.gz,PASS,496081577,496081577,f7b2093d71c5e055820ecb6c524f6716,f7b2093d71c5e055820ecb6c524f6716,b62db34f7cbbcdf29fba77ff7e993ea45af1600f6d678b8c346f8ffb02d6eefe,GSE147657
GENCODE_v42,tools/reference/gencode_v42_all_regions/GRCh38.p13.genome.fa.gz,PASS,,889409368,76e9212a7364362d504c9cfddfd8941a,76e9212a7364362d504c9cfddfd8941a,8bf92a85f255d738d0d37939665fee0be438b11aea036ac78fb1e49bb68ddbbd,official release 42 MD5SUMS
GENCODE_v42,tools/reference/gencode_v42_all_regions/gencode.v42.chr_patch_hapl_scaff.annotation.gtf.gz,PASS,,53074623,8b02deabb6180620820c6b1e81603089,8b02deabb6180620820c6b1e81603089,5a653f58df24be7e74ed16259e731a55703bd7e2c85ac1fb4cc57e459c2aa324,official release 42 MD5SUMS
GENCODE_v42,tools/reference/gencode_v42_primary_assembly/GRCh38.primary_assembly.genome.fa.gz,PASS,,844691642,4bb64aa21f2ed44fc472050640193c83,4bb64aa21f2ed44fc472050640193c83,3b2810a29235700fa96283a86a2ba701eac9983a3de2cdfa04635c4996fce11e,official release 42 MD5SUMS
GENCODE_v42,tools/reference/gencode_v42_primary_assembly/gencode.v42.primary_assembly.annotation.gtf.gz,PASS,,49556733,f30067f5a5391dc67cd55c49a3447e73,f30067f5a5391dc67cd55c49a3447e73,60774dcc8cf450fd704bec2c7b696031af19aa96b2e28b2f1f542c99ca2b0827,official release 42 MD5SUMS
tool_archive,tools/downloads/STAR-2.7.5b.tar.gz,PASS,,9363341,,239c6afbe0f7caeabd6b1bdacfb880fa,8d50ad715e1204b69ff155bb97af8358bdfb564879e23654d4edb8ec28e598d0,tar members=368
tool_archive,tools/downloads/STAR-2.7.8a.tar.gz,PASS,,9941286,,b6482dd380c5c07587166ee240573780,e6bf898291a1a350b36d8c031d3f65fc66869e6775a053af57c9cfe275f77305,tar members=391
tool_archive,tools/downloads/subread-2.0.1-Windows-x86_64.zip,PASS,,35276636,,3a69e62911212c787bebd4ee79481cb9,7b63bc78dd90ffea76dd9fe3aa45c63289cfedcb738456132f77cd9c0c94d73c,zip members=164
GSE179568_document,analysis_data/independent_validation/GSE179568/fimmu-12-757607.pdf,PASS,,15801286,,a2b3e8bb3f5ef4c369d21126ff74a703,af5492634e8e9dc9ba2f2d237d7df4a20af058d55f58b4d510096a55476e6269,valid %PDF- header
GSE179568_document,analysis_data/independent_validation/GSE179568/Table 1.pdf,PASS,,40977,,0c577acd09be9366cc31aa4734b38bbd,375c2f9a341db8aa90cf2b37847de31b8fae864b4d06c1bd2156e19b8d4d91b4,valid %PDF- header
GSE179568_document,analysis_data/independent_validation/GSE179568/Table 2.pdf,PASS,,109669,,7189c6c5f6ad30a76c3481ac309ba3cd,3262fb74fd81261f34e4b08690cd1e5e77b82879a53f03fd0fe7c2d8f551af31,valid %PDF- header
GSE179568_document,analysis_data/independent_validation/GSE179568/Table 3.xlsx,PASS,,89651,,eb9490ba0df711546e66c365ccd8d852,a2ea78e291f1f0fa9d6a3ec12565ff088eccd623bbc41f62c7cf4b528731f067,valid XLSX zip; members=12
GSE179568_document,analysis_data/independent_validation/GSE179568/Table 4.xlsx,PASS,,17739,,60076e33114497dc168f353fe1cd5cee,88463835e4750ed0b8780cb1ffe5e54b77df5dab38981a2f52f95fb46d194dac,valid XLSX zip; members=12
ENA_manifest,analysis_data/independent_validation/filereport_read_run_PRJNA744210.tsv,PASS,,13895,,f8fb97726fae6e55aa25341bfc022de5,35905ba243628c537471d2bb6e604c2b10705328d053ef8fa68e7bd6a952e630,rows=72; unique_runs=72
